,m,n,kernel,n_iter,training_time
0,1100,30,1,958,0.053595368599999915
1,1100,30,0,44617,0.10374808919999907
2,1100,27,1,943,0.05138371600000084
3,1100,27,0,33948,0.08897308060000028
4,1100,24,1,932,0.04837275119999873
5,1100,24,0,61497,0.0966405712000011
6,1100,21,1,944,0.05142934060000073
7,1100,21,0,27638,0.07825187860000113
8,1100,18,1,949,0.05010452220000019
9,1100,18,0,18182,0.06860575479999938
10,1100,15,1,1018,0.04904138600000181
11,1100,15,0,34438,0.06683136620000027
12,1100,12,1,946,0.043005258600001636
13,1100,12,0,9943,0.052937547800000574
14,1100,9,1,941,0.046924018400000024
15,1100,9,0,10479,0.04659939539999982
16,1100,6,1,926,0.0474987602000013
17,1100,6,0,7363,0.04224852759999749
18,1100,3,1,862,0.04405753280000084
19,1100,3,0,1151,0.03553869480000031
20,1090,30,1,953,0.05227187839999914
21,1090,30,0,58072,0.10382702060000071
22,1090,27,1,965,0.050415674999999285
23,1090,27,0,27226,0.08867185519999907
24,1090,24,1,1002,0.048541232800003796
25,1090,24,0,38756,0.08905480220000044
26,1090,21,1,965,0.04986906540000149
27,1090,21,0,26574,0.07389697239999862
28,1090,18,1,989,0.04893128780000211
29,1090,18,0,27421,0.0677629908
30,1090,15,1,993,0.04797824880000121
31,1090,15,0,17841,0.060380026200000714
32,1090,12,1,843,0.04232865939999897
33,1090,12,0,7515,0.04948575080000097
34,1090,9,1,1051,0.047405997399999934
35,1090,9,0,1926,0.04122104000000064
36,1090,6,1,956,0.046084313599999406
37,1090,6,0,2373,0.041926098199998305
38,1090,3,1,846,0.0442193718000027
39,1090,3,0,706,0.033500675599998433
40,1080,30,1,1011,0.052795439999999874
41,1080,30,0,76785,0.10639162719999859
42,1080,27,1,941,0.04974797460000104
43,1080,27,0,45930,0.093791705000001
44,1080,24,1,887,0.044758176400002014
45,1080,24,0,19211,0.0789351572000001
46,1080,21,1,1020,0.04983287720000078
47,1080,21,0,17791,0.07174183899999917
48,1080,18,1,920,0.0477703230000003
49,1080,18,0,26525,0.06801021939999999
50,1080,15,1,1015,0.04807631200000202
51,1080,15,0,8658,0.05793369480000195
52,1080,12,1,900,0.042295144799999206
53,1080,12,0,7431,0.0496421514000005
54,1080,9,1,987,0.04488687260000006
55,1080,9,0,1868,0.039817450200001756
56,1080,6,1,908,0.045462141599999485
57,1080,6,0,2555,0.04147975899999921
58,1080,3,1,1000,0.044052899400000456
59,1080,3,0,1119,0.034545073400001056
60,1070,30,1,945,0.05037629480000163
61,1070,30,0,37124,0.09409362120000112
62,1070,27,1,930,0.049269776399999896
63,1070,27,0,47290,0.09499429540000222
64,1070,24,1,924,0.04748825980000078
65,1070,24,0,35700,0.07936839820000045
66,1070,21,1,944,0.04749036599999954
67,1070,21,0,31729,0.0723403112000014
68,1070,18,1,981,0.046829028999999876
69,1070,18,0,23894,0.06635213819999705
70,1070,15,1,928,0.04650045040000208
71,1070,15,0,12004,0.05706729560000099
72,1070,12,1,945,0.041245369399999274
73,1070,12,0,11640,0.05019860939999887
74,1070,9,1,878,0.04511338760000001
75,1070,9,0,5383,0.0454564347999991
76,1070,6,1,931,0.050929380400000925
77,1070,6,0,1175,0.042025411400000226
78,1070,3,1,800,0.05181639680000103
79,1070,3,0,894,0.03949423079999832
80,1060,30,1,948,0.05024414960000172
81,1060,30,0,25192,0.09512389960000008
82,1060,27,1,930,0.04838955599999935
83,1060,27,0,37739,0.08713673680000085
84,1060,24,1,933,0.04592267199999896
85,1060,24,0,46112,0.08202969640000077
86,1060,21,1,931,0.048753611799999416
87,1060,21,0,16262,0.06808336219999803
88,1060,18,1,915,0.04654093080000195
89,1060,18,0,13476,0.06413424200000009
90,1060,15,1,951,0.05100322619999957
91,1060,15,0,22802,0.07295353080000097
92,1060,12,1,867,0.05044381260000108
93,1060,12,0,10515,0.06214237020000013
94,1060,9,1,939,0.043045231399999294
95,1060,9,0,19444,0.04758064279999985
96,1060,6,1,804,0.0478221671999961
97,1060,6,0,3276,0.03977841140000038
98,1060,3,1,711,0.04183800679999834
99,1060,3,0,918,0.033557037000000636
100,1050,30,1,949,0.049357810000000765
101,1050,30,0,47489,0.10234554660000014
102,1050,27,1,936,0.047966626200001625
103,1050,27,0,41123,0.0876035972000004
104,1050,24,1,918,0.04368769380000046
105,1050,24,0,50608,0.08124761860000049
106,1050,21,1,987,0.04649933039999965
107,1050,21,0,22682,0.06812938319999944
108,1050,18,1,946,0.04561984039999985
109,1050,18,0,16638,0.060727578199998786
110,1050,15,1,918,0.04489502380000019
111,1050,15,0,15693,0.057586173999999345
112,1050,12,1,804,0.039661560800000474
113,1050,12,0,10725,0.04805057360000049
114,1050,9,1,844,0.042189656600000805
115,1050,9,0,6394,0.04256711960000033
116,1050,6,1,934,0.042578415800000616
117,1050,6,0,3578,0.03928285119999941
118,1050,3,1,802,0.04058867659999947
119,1050,3,0,1456,0.03354461660000041
120,1040,30,1,962,0.0475981670000003
121,1040,30,0,51846,0.09545968500000157
122,1040,27,1,954,0.04578856399999935
123,1040,27,0,28419,0.07940517020000115
124,1040,24,1,950,0.04207935060000025
125,1040,24,0,43825,0.07968917920000038
126,1040,21,1,947,0.04498612259999959
127,1040,21,0,33398,0.06893921420000097
128,1040,18,1,889,0.044137479799999116
129,1040,18,0,31613,0.06328579200000135
130,1040,15,1,890,0.04378037259999985
131,1040,15,0,3076,0.05002318220000106
132,1040,12,1,933,0.03943867159999996
133,1040,12,0,23166,0.05024925020000097
134,1040,9,1,882,0.04228531980000057
135,1040,9,0,3600,0.04204141820000018
136,1040,6,1,761,0.04141642680000004
137,1040,6,0,2579,0.038349783800000384
138,1040,3,1,834,0.04034219959999987
139,1040,3,0,554,0.029301754400000844
140,1030,30,1,891,0.046334566999999535
141,1030,30,0,91662,0.1038976991999995
142,1030,27,1,940,0.04519519979999913
143,1030,27,0,77743,0.09389008980000071
144,1030,24,1,896,0.0414442183999995
145,1030,24,0,33584,0.07345631259999905
146,1030,21,1,899,0.04420899240000011
147,1030,21,0,16528,0.06568349079999862
148,1030,18,1,920,0.043272002799999855
149,1030,18,0,23675,0.06040542699999918
150,1030,15,1,884,0.043121534400000175
151,1030,15,0,22577,0.05744548719999969
152,1030,12,1,875,0.03927485059999967
153,1030,12,0,5852,0.0450751946000004
154,1030,9,1,985,0.041075128800001436
155,1030,9,0,4957,0.04205893039999964
156,1030,6,1,944,0.04087339220000104
157,1030,6,0,3605,0.03833524339999954
158,1030,3,1,876,0.03962019300000037
159,1030,3,0,1067,0.03198781719999957
160,1020,30,1,910,0.045950470800000434
161,1020,30,0,44685,0.0922906869999995
162,1020,27,1,911,0.04412041719999991
163,1020,27,0,40526,0.0815190168000001
164,1020,24,1,890,0.040698966399999745
165,1020,24,0,18803,0.06754960620000006
166,1020,21,1,932,0.044758421800000295
167,1020,21,0,35742,0.0706827883999999
168,1020,18,1,813,0.042836462400000386
169,1020,18,0,17994,0.06182189059999956
170,1020,15,1,951,0.04189809599999954
171,1020,15,0,25204,0.0570819838000002
172,1020,12,1,913,0.0392926794000001
173,1020,12,0,12779,0.04879997819999957
174,1020,9,1,899,0.04036708180000019
175,1020,9,0,11402,0.04586992579999958
176,1020,6,1,839,0.039600741000000286
177,1020,6,0,2092,0.03727212920000049
178,1020,3,1,817,0.03894049739999907
179,1020,3,0,762,0.02995349179999991
180,1010,30,1,923,0.04483136840000022
181,1010,30,0,51319,0.09027805559999962
182,1010,27,1,977,0.04468486560000038
183,1010,27,0,28953,0.07707349139999983
184,1010,24,1,857,0.041260018200000206
185,1010,24,0,24210,0.0696404458000007
186,1010,21,1,886,0.04295203939999972
187,1010,21,0,79152,0.07994926559999946
188,1010,18,1,815,0.04201094639999958
189,1010,18,0,18506,0.05708093059999993
190,1010,15,1,870,0.04064318719999989
191,1010,15,0,8916,0.0515092696
192,1010,12,1,841,0.037291450999999934
193,1010,12,0,13958,0.04556433660000003
194,1010,9,1,826,0.039323125999999674
195,1010,9,0,6005,0.041148109800000124
196,1010,6,1,804,0.03913853200000013
197,1010,6,0,4746,0.036541195199999876
198,1010,3,1,702,0.039239113599999875
199,1010,3,0,1573,0.03274187520000016
200,1000,30,1,895,0.044980526799999865
201,1000,30,0,28948,0.08421306860000026
202,1000,27,1,874,0.044047359800000054
203,1000,27,0,40044,0.08281633619999998
204,1000,24,1,944,0.04087678640000014
205,1000,24,0,28196,0.06850518300000008
206,1000,21,1,854,0.04307077519999991
207,1000,21,0,13564,0.061366767200000005
208,1000,18,1,920,0.04334947600000003
209,1000,18,0,25958,0.06199436800000013
210,1000,15,1,987,0.04351713259999999
211,1000,15,0,19037,0.05519485840000007
212,1000,12,1,931,0.038444120400000156
213,1000,12,0,15576,0.04760636060000003
214,1000,9,1,953,0.04124693860000002
215,1000,9,0,5708,0.04205307200000004
216,1000,6,1,981,0.04536339579999997
217,1000,6,0,5436,0.051619902599999976
218,1000,3,1,758,0.047804533400000036
219,1000,3,0,1173,0.03924297319999999
